1000 13.1387 
2000 140.857 
3000 394.417 
4000 827
5000 1529.33 
6000 2514 
7000 3886 
8000 5572
9000 7791 
10000 10487 
11000 13783 
12000 17794
13000 22161
14000 27389
15000 33350
16000 40496
17000 48029
18000 56488
19000 66230
20000 77053
21000 89688
22000 102688 
23000 118027 
24000 131605
25000 147842 
26000 165942 
27000 186638 
28000 207835
29000 230298 
30000 254380 
31000 279937 
32000 310108
33000 338118 
34000 369305 
35000 399472 
36000 433839
37000 475818 
38000 512952 
39000 555202 
40000 596520
41000 640595 
42000 688888 
43000 737254 
44000 794238
45000 848433 
46000 896381 
47000 962195
48000 1.02244e+06 
49000 1.09613e+06 
50000 1.1566e+06
51000 1.22395e+06 
52000 1.2954e+06 
53000 1.38198e+06
54000 1.44938e+06 
55000 1.53033e+06 
56000 1.61199e+06
57000 1.71196e+06 
58000 1.79437e+06 
59000 1.89137e+06
60000 1.99262e+06
